No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
14,"LeafGuard Chicago, LLC - Burr Ridge, IL 60527 - Business Listings Directory powered by Homestead Technologies","https://listings.homestead.com/info-leafguard-chicago-llc-burr-ridge-il-1","https://pages.leafguard.com/LeafGuardOffers.html",91,44,5,"http://www.gutterschicago.com","2023-05-02","2026-08-06"
15,"Oct 21 | Inaugural Schaumburg Halloween Carnival Kicks Off October 21 | Palatine, IL Patch","https://patch.com/illinois/palatine/calendar/event/20221021/1968943/inaugural-schaumburg-halloween-carnival-kicks-off-october-21","https://www.leafguard.com/",91,42,1,"leaf guard","2022-10-26","2022-10-26"
16,"-","https://www.prweb.com/releases/leafguard_by_beldon_home_solutions_acquires_leafguard_of_st_louis/prweb11572274.htm","https://pages.leafguard.com/LeafGuardOffers.html",91,42,6,"leafguard by beldon home solutions","2024-07-27","2026-08-02"
17,"Leafguard Gutter Systems, 773 Westland Drive, Lexington, KY - Groupon","https://www.groupon.com/biz/lexington/englert-leafguard-gutter-systems","https://www.leafguard.com/",91,41,1,"-","2018-02-22","2025-12-06"
18,"Vendors | Blandy Experimental Farm","https://www.blandy.virginia.edu/vendors","https://www.leafguard.com/",91,41,1,"leafguard","2026-07-11","2026-07-11"
19,"-","https://www.goodhousekeeping.com/home/renovation/a34096524/7-ways-to-prevent-water-damage-at-home/","https://www.leafguard.com/",90,53,1,"leafguard logo","2020-10-14","2023-04-21"
20,"Working at LeafGuard | Glassdoor","https://www.glassdoor.com/Overview/Working-at-LeafGuard-EI_IE1293742.11,20.htm","https://www.leafguard.com/",90,50,1,"view site","2024-11-20","2026-08-30"
21,"Grove Area Chamber of Commerce Weekly Update","https://myemail.constantcontact.com/Grove-Area-Chamber-of-Commerce-Weekly-Update.html?soid=1103157500132&aid=kOCtZ3hqEfE","https://www.leafguard.com/",90,43,1,"www.leafguard.com","2025-12-23","2026-06-28"
22,"-","https://businessfinder.nj.com/3145859/Central-Jersey-Leaf-Guard-East-Brunswick-NJ","https://www.leafguard.com/",90,41,1,"leafguard.com","2017-07-21","2020-02-16"
23,"Helpology™ - World's Most Helpful Brand™","https://helpologyorg.yourwebsitespace.com/","https://www.leafguard.com/",90,40,16,"leafguard","2023-06-19","2026-06-25"
24,"-","https://jobs.miamiherald.com/company/leafguard-197734","https://www.leafguard.com/careers",90,40,3,"https://www.leafguard.com/careers","2021-10-21","2024-02-08"
25,"Average Cost Of Leafguard Gutters Per Foot","https://atapbadamcokelat.web.app/gallery/average-cost-of-leafguard-gutters-per-foot.html","https://www.leafguard.com/sites/default/files/main-banner/mobile/images/Ourstory-banner_mobile.jpg.jpg",90,38,"-","beldon leafguard gutters cost","2021-03-24","2021-07-07"
26,"What is the cost of 'gutter helmet' and the like? | Houzz Forum","https://www.houzz.com/discussions/2598911/what-is-the-cost-of-gutter-helmet-and-the-like","https://www.leafguard.com/",89,48,1,"www.leafguard.com","2026-05-08","2026-05-08"
27,"-","https://www.oregonlive.com/hg/2016/01/washington_park_house_remodel.html","https://www.leafguard.com/",89,40,1,"leafguard gutters","2021-12-12","2026-02-08"
28,"-","https://local.yahoo.com/info-13458083-leafguard-of-the-low-country-summerville","https://www.leafguard.com/",89,37,2,"website","2021-08-29","2023-04-11"
29,"-","https://pubs.aarp.org/aarptm/20100910_PR/LinkContent.action?lm=1372691613000","https://pages.leafguard.com/LeafGuardOffers.html",88,40,1,"http://800gutters.com","2024-07-25","2026-07-08"
30,"Now’s the time to check your home’s gutters | king5.com","https://www.king5.com/article/sponsor-story/check-homes-water-management-system-before-fall/281-2a8bf827-ed99-4fd2-8fcb-a925772424b4","https://www.leafguard.com/",88,39,4,"leafguard","2023-09-03","2026-08-10"
31,"-","https://jobs.charlotteobserver.com/company/leafguard-197734","https://www.leafguard.com/careers",87,38,1,"https://www.leafguard.com/careers","2021-12-04","2023-11-26"
32,"-","https://ask.metafilter.com/187625/Will-a-metal-roof-affect-my-gutters","https://www.leafguard.com/",87,36,1,"leafguard","2017-09-03","2026-06-25"
33,"LEAFGUARD BY BELDON, INC. Reviews/Feedback. LEAFGUARD BY BELDON, INC. Testimonials. Is LEAFGUARD BY BELDON, INC. legit?","https://trustburn.com/reviews/leafguard-by-beldon-inc","https://pages.leafguard.com/LeafGuardOffers.html",87,31,9,">leafguardgutters.com","2026-02-17","2026-07-04"
34,"-","https://jobs.kansascity.com/company/leafguard-197734","https://www.leafguard.com/careers",86,39,3,"https://www.leafguard.com/careers","2021-11-19","2024-02-13"
35,"Englert Leaf Guard - MassLive","https://shopping.masslive.com/denver-or/englert-leaf-guard-503-427-1015","https://www.leafguard.com/",86,38,1,"http://www.leafguard.com/","2022-10-21","2024-09-23"
36,"Best 30 Roofing Contractors in Eagle, WI  | The Real Yellow Pages®","https://www.yellowpages.com/eagle-wi/roofing-contractors","https://pages.leafguard.com/LeafGuardOffers.html",85,46,2,"website","2025-01-25","2026-09-01"
37,"-","https://us9.campaign-archive.com/?u=29548482887d5cb273d9ff5b2&id=70edc7ad65","https://www.leafguard.com/",85,40,6,"-","2022-09-24","2023-04-27"
38,"Matthew Flath- LeafGuard 5.31.16 | wkyc.com","https://www.wkyc.com/article/entertainment/television/lakeside-today/matthew-flath-leafguard-53116/95-224771504","https://pages.leafguard.com/LeafGuardOffers.html",85,36,4,"www.800gutters.com","2024-07-22","2026-08-31"
39,"-","https://jobs.courant.com/company/leafguard-197734","https://www.leafguard.com/careers",84,38,1,"https://www.leafguard.com/careers","2022-03-25","2024-03-22"
40,"-","https://boards.greenhouse.io/embed/job_app?for=leafguard&token=4489172003&b=https%3A%2F%2Fwww.leafguard.com%2Fcareers&source=njcom-recruitology","https://www.leafguard.com/careers",84,36,2,"view all jobs","2022-04-27","2022-04-27"
41,"-","https://jobs.newsobserver.com/company/leafguard-197734","https://www.leafguard.com/careers",83,38,1,"https://www.leafguard.com/careers","2022-01-09","2024-05-01"
42,"Unclog your gutter for good | FOX31 Denver","https://kdvr.com/on-air/colorados-best/unclog-your-gutter-for-good/","https://pages.leafguard.com/LeafGuardOffers.html",83,37,1,"leafguard","2024-07-25","2026-07-14"
43,"-","https://jobs.triblive.com/company/leafguard-197734","https://www.leafguard.com/careers",83,37,1,"https://www.leafguard.com/careers","2021-12-18","2024-06-01"
44,"LeafGuard of Seattle | Kent, WA 98032 - Angi","https://match.angi.com/rated.LeafGuardofSeattle.6576434.html","https://www.leafguard.com/",83,37,2,">www.leafguard.com","2024-02-03","2025-04-09"
45,"-","https://jobs.mcall.com/company/leafguard-197734","https://www.leafguard.com/careers",83,37,1,"https://www.leafguard.com/careers","2021-12-27","2024-04-13"
46,"-","https://jobs.adn.com/company/leafguard-197734","https://www.leafguard.com/careers",83,37,1,"https://www.leafguard.com/careers","2021-10-13","2024-06-10"
47,"Leafguard of Tennessee | Chattanooga Times Free Press","https://www.timesfreepress.com/news/2010/may/10/leafguard-tennessee/","https://www.leafguard.com/",82,37,14,"http://www.leafguard.com/","2022-10-20","2026-06-12"
48,"No-Clog Guarantee, LeafGuard of Lake Erie, Erie, PA","https://shopping.buffalonews.com/places/view/36230/leaf_guard_of_lake_erie.html","https://www.leafguard.com/locations/erie",82,37,1,"leafguard.com/locations/erie","2023-04-14","2023-04-14"
49,"Leafguard – Jobs – Career & Professional Development | University of Denver","https://career.du.edu/companies/leafguard/jobs/","https://quote.leafguard.com/",81,36,1,"visit website","2022-05-01","2026-06-07"
50,"Starling Guttering Inc - The Virginian-Pilot","https://admin.local.pilotonline.com/williamsburg-va/starling-guttering-inc-757-220-9900","https://www.leafguard.com/locations/starling-gutter-company",81,36,1,"https://www.leafguard.com/locations/starling-gutter-company","2021-12-08","2025-01-05"
51,"The Woodworking Shows | New Jersey","https://twws-responsive.businesscatalyst.com/new-jersey.html","https://pages.leafguard.com/LeafGuardOffers.html",81,34,46,"-","2024-07-27","2026-08-02"
52,"-","https://www.zoominfo.com/people/Todd/Moseley","https://www.leafguard.com/",80,37,2,"www.leafguard.com","2020-02-27","2020-02-27"
53,"-","https://jobs.theadvocate.com/company/leafguard-197734","https://www.leafguard.com/careers",80,36,1,"https://www.leafguard.com/careers","2022-01-09","2024-04-25"
54,"Gulf Coast Home and Outdoor Expo | Meet the Exhibitors","https://www.wkrg.com/gulf-coast-home-and-outdoor-expo/exhibitor-list/","https://www.leafguard.com/",80,34,2,"leafguard","2025-06-02","2026-06-09"
55,"How to Clean Gutters: 5 Effective Ways to Get the Job Done","https://www.bobvila.com/articles/how-to-clean-gutters/","https://www.leafguard.com/",79,60,2,"leafguard","2021-10-03","2026-07-07"
56,"-","https://www.folkd.com/tag/gutters+atlanta+rain+gutters+atlanta+gutter+guards","https://pages.leafguard.com/LeafGuardOffers.html",79,39,1,"water damage in your home in atlanta stopped up rain gutters can be to condemn","2023-04-05","2026-07-03"
57,"-","https://pro.porch.com/granger-ia/general-contractors/leafguard-exteriors/pp","https://www.leafguard.com/",79,37,1,"http://www.leafguard.com","2024-03-19","2026-05-03"
58,"-","https://jobs.thestate.com/company/leafguard-197734","https://www.leafguard.com/careers",79,36,4,"https://www.leafguard.com/careers","2021-10-11","2024-02-19"
59,"LeafGuard gutter system comes to New Mexico","https://www.krqe.com/new-mexico-living/leafguard-gutter-systems-eliminate-the-need-for-gutter-cleaning/","https://www.leafguard.com/",79,35,1,"leafguard’s","2024-04-21","2026-04-26"
60,"-","https://www.ispot.tv/ad/nRYG/leafguard-99-install-sale-ladder-accidents","https://pages.leafguard.com/LeafGuardOffers.html",78,38,1,"http://www.leafguardoffer.com","2023-01-23","2026-08-19"
61,"Top Guidelines Of home improvement","https://raymondbvndv.tinyblogging.com/Top-Guidelines-Of-home-improvement-7460400","https://pages.leafguard.com/LeafGuardOffers.html",78,38,23,"more info","2023-04-28","2026-07-13"
62,"Map and Directions to LeafGuard of Pittsburgh in Pittsburgh, PA 15205","https://www.merchantcircle.com/leafguard-of-pittsburgh-pittsburgh-pa","https://pages.leafguard.com/LeafGuardOffers.html",78,38,2,"www.leafguardofpittsburgh.com","2023-02-05","2026-07-03"
63,"A Simple Key For home improvement Unveiled","https://st-louis-gutter-cleaning70135.thezenweb.com/A-Simple-Key-For-home-improvement-Unveiled-9343309","https://pages.leafguard.com/LeafGuardOffers.html",78,38,14,"read more","2023-04-28","2026-07-13"
64,"-","https://jobs.richmond.com/company/leafguard-197734","https://www.leafguard.com/careers",78,35,2,"https://www.leafguard.com/careers","2021-10-19","2024-02-16"
65,"-","https://kk.org/cooltools/guttershutter/","https://www.leafguard.com/",78,35,12,"leaf guard","2016-09-22","2017-05-13"
66,"Top 10 Sites about Gutter Guards | Xmarks","https://www.xmarks.com/topic/gutter_guards","https://www.leafguard.com/",78,34,79,"-","2017-12-04","2018-03-18"
67,"Fall cleanup is easy with Leafguard | wzzm13.com","https://www.wzzm13.com/article/money/consumer/flex-up/fall-cleanup-is-easy-with-leafguard/69-b1469723-6460-4051-b09b-8ec4f49e9de6","https://www.leafguard.com/",78,34,4,"www.leafguard.com","2020-01-27","2026-07-10"
68,"-","https://jobs.ledger-enquirer.com/company/leafguard-197734","https://www.leafguard.com/careers",78,33,2,"https://www.leafguard.com/careers","2021-10-17","2024-01-18"
69,"
            
    LeafGuard Gutter Installer
    in Salt Lake City, UT
    | Shaw Media Jobs

        ","https://jobs.shawlocal.com/company/leafguard-197734/job/gutter-installer-in-salt-lake-city-ut-t8aw0a2o4ae6tl4njhhy8vdfd028c7/","https://www.leafguard.com/careers",78,31,4,"https://www.leafguard.com/careers","2022-01-01","2022-01-01"
70,"Rumored Buzz on home improvement","https://gutter-cleaning-st-louis82467.onesmablog.com/Rumored-Buzz-on-home-improvement-9174736","https://pages.leafguard.com/LeafGuardOffers.html",77,40,14,"clean gutters st louis","2023-04-28","2026-07-13"
71,"The best Side of home improvement","https://clean-gutters-st-louis02345.pointblog.net/The-best-Side-of-home-improvement-8538512","https://pages.leafguard.com/LeafGuardOffers.html",77,39,25,"here","2023-04-28","2026-07-13"
72,"-","https://jobs.fresnobee.com/company/leafguard-197734","https://www.leafguard.com/careers",77,36,2,"https://www.leafguard.com/careers","2021-12-11","2024-06-05"
73,"Starling Guttering Inc - Daily Press","https://admin.mylocal.dailypress.com/williamsburg-va/starling-guttering-inc-757-220-9900","https://www.leafguard.com/locations/starling-gutter-company",77,35,2,"https://www.leafguard.com/locations/starling-gutter-company","2023-06-12","2026-08-24"
74,"-","https://milled.com/groupon-gr/pamper-yourself-before-the-holidays-W7IDBBqHF2pw4dLZ","https://quote.leafguard.com/display/",77,35,13,"-","2022-11-02","2023-05-11"
75,"-","https://jobs.roanoke.com/company/leafguard-197734","https://www.leafguard.com/careers",77,35,1,"https://www.leafguard.com/careers","2021-10-16","2024-05-09"
76,"
			
				
					Roof Cleaning listings in Belton,SC
				
				
				
				
				
			
		 - Greenville, SC Local Businesses","https://local.wyff4.com/en-US/s/SC-Belton/Roof-Cleaning","https://www.leafguard.com/",77,34,3,"website","2019-12-19","2020-06-30"
77,"
			
				
					Roof Cleaning listings in Greenville,SC
				
				
				
				
				
			
		 - Greensboro, NC Local Businesses","https://local.wxii12.com/en-US/s/SC-Greenville/Roof-Cleaning","https://www.leafguard.com/",77,33,3,"website","2020-01-03","2020-09-04"
78,"Google Answers: locating abusiness","https://answers.google.com/answers/threadview/id/240727.html","https://www.leafguard.com/ECoupons.aspx",77,32,24,"http://www.leafguard.com/ecoupons.aspx#","2018-04-26","2026-07-27"
79,"Leafguard Review 2026: Cost and Customer Experiences","https://www.thisoldhouse.com/gutters/leafguard-review","https://www.leafguard.com/warranty",76,45,1,"warranty terms and conditions","2024-11-11","2026-06-30"
80,"
It's Derby Days Week!

","https://content.govdelivery.com/accounts/WAREDMOND/bulletins/3a7996d","https://www.leafguard.com/",76,40,1,"leafguard","2024-08-14","2026-07-03"
81,"How home improvement can Save You Time, Stress, and Money.","https://jaidenhariz.blog5.net/6564171/how-home-improvement-can-save-you-time-stress-and-money","https://pages.leafguard.com/LeafGuardOffers.html",76,36,28,"more info","2023-04-28","2026-07-13"
82,"-","https://guttercleaningstlouismo35688.blog2learn.com/6515979/the-best-side-of-home-improvement","https://pages.leafguard.com/LeafGuardOffers.html",76,36,28,"clean gutters st louis","2023-04-28","2026-07-13"
83,"LeafGuard of Lake Erie","https://www.wkbw.com/am-buffalo/leafguard-of-lake-erie-how-they-work","https://www.leafguard.com/",76,34,5,"www.leafguard.com","2017-07-23","2026-06-26"
84,"-","https://jobs.greensboro.com/company/leafguard-197734","https://www.leafguard.com/careers",76,33,1,"https://www.leafguard.com/careers","2021-10-11","2024-03-26"
85,"-","https://jobs.theeagle.com/company/leafguard-197734","https://www.leafguard.com/careers",76,32,1,"https://www.leafguard.com/careers","2021-10-15","2024-05-14"
86,"-","https://hawaiijobs.staradvertiser.com/company/leafguard-197734","https://www.leafguard.com/careers",75,36,1,"https://www.leafguard.com/careers","2022-01-27","2023-10-30"
87,"-","https://cristianoiari.fitnell.com/6374920/fascination-about-home-improvement","https://pages.leafguard.com/LeafGuardOffers.html",75,36,14,"website","2023-04-28","2026-07-13"
88,"Helping The others Realize The Advantages Of home improvement","https://augustnhari.fireblogz.com/433517/helping-the-others-realize-the-advantages-of-home-improvement","https://pages.leafguard.com/LeafGuardOffers.html",75,35,13,"check here","2023-04-28","2026-07-13"
89,"-","https://jobspot.nbc-2.com/company/leafguard-197734","https://www.leafguard.com/careers",75,34,12,"https://www.leafguard.com/careers","2021-11-07","2024-05-29"
90,"An Unbiased View of Gutter Cleaning St Louis","https://edgardcvrk.getblogs.net/23718033/an-unbiased-view-of-gutter-cleaning-st-louis","https://pages.leafguard.com/LeafGuardOffers.html",75,34,47,"website","2023-04-28","2026-07-13"
91,"5 Essential Elements For Gutter Cleaning St Louis","https://gutter-cleaners-syracuse50716.dsiblogger.com/23968098/5-essential-elements-for-gutter-cleaning-st-louis","https://pages.leafguard.com/LeafGuardOffers.html",75,34,36,"click here","2023-04-28","2026-07-13"
92,"The 2-Minute Rule for Gutter Cleaning St Louis","https://gutter-cleaning-charlotte39260.jaiblogs.com/19108798/the-2-minute-rule-for-gutter-cleaning-st-louis","https://pages.leafguard.com/LeafGuardOffers.html",75,34,43,"more info","2023-04-28","2026-07-13"
93,"-","https://jobs.islandpacket.com/company/leafguard-197734","https://www.leafguard.com/careers",75,33,3,"https://www.leafguard.com/careers","2021-12-12","2024-02-01"
94,"Gutter Helmet vs LeafGuard Pros and Cons @ PissedConsumer Help Center","https://help-center.pissedconsumer.com/protecting-your-gutters-gutter-helmet-vs-leafguard/","https://www.leafguard.com/frequently-asked-questions",74,44,28,"leafguard faq","2019-09-24","2026-08-19"
95,"Local Gutter Cleaning Fundamentals Explained","https://gutter-cleaning-st-louis70123.ampblogs.com/Local-Gutter-Cleaning-Fundamentals-Explained-10172140","https://pages.leafguard.com/LeafGuardOffers.html",74,38,28,"here","2023-04-28","2026-07-13"
96,"LeafGuard’s Competitors, Revenue, Number of Employees, Funding, Acquisitions & News - Owler Company Profile","https://www.owler.com/company/leafguard","https://www.leafguard.com/",74,38,1,"https://www.leafguard.com/","2023-12-25","2026-06-30"
97,"The smart Trick of home improvement That No One is Discussing","https://milocvmev.blogofoto.com/481605/the-smart-trick-of-home-improvement-that-no-one-is-discussing","https://pages.leafguard.com/LeafGuardOffers.html",74,35,13,"read more","2023-04-28","2026-07-13"
98,"A Secret Weapon For home improvement","https://stephenkcukb.bluxeblog.com/495177/a-secret-weapon-for-home-improvement","https://pages.leafguard.com/LeafGuardOffers.html",74,35,13,"gutter cleaning st louis mo","2023-04-28","2026-07-13"
99,"Gutter Cleaning St Louis No Further a Mystery","https://guttercleaninglittlerocka50617.designertoblog.com/23499237/gutter-cleaning-st-louis-no-further-a-mystery","https://pages.leafguard.com/LeafGuardOffers.html",74,35,12,"more info","2023-04-28","2026-07-13"
100,"Gutter Cleaning St Louis - An Overview","https://erickmfvkx.acidblog.net/23861805/gutter-cleaning-st-louis-an-overview","https://pages.leafguard.com/LeafGuardOffers.html",74,35,17,"read more","2023-04-28","2026-07-13"
101,"5 Tips about home improvement You Can Use Today","https://guttercleaningstlouismiss68013.blogs-service.com/482197/5-tips-about-home-improvement-you-can-use-today","https://pages.leafguard.com/LeafGuardOffers.html",74,35,8,"check here","2023-04-28","2026-07-13"
102,"The LeafGuard Gutter System","https://www.tmj4.com/shows/the-morning-blend/the-leafguard-gutter-system","https://quote.leafguard.com/?t=search&gad_source=1&gclid=CjwKCAjwh4-wBhB3EiwAeJsppD9y_IZl92FpcgPFcBG8JhjFQBCSGDh8WxG2f8G4zBWcvCW0tACBpxoCZ7oQAvD_BwE",74,34,7,"quote.leafguard.com/locations/milwaukee","2024-06-29","2026-07-07"
103,"-","https://local.lmtonline.com/b22348385/LeafGuard","https://www.leafguard.com/",74,32,1,"www.leafguard.com","2021-08-13","2021-08-13"
104,"-","https://topwebdirectoy.com/most-visited-site-379/","https://www.leafguard.com/",73,45,7,"leafguard.com","2023-05-18","2026-07-08"
105,"Best 30 Gutter Cleaning in Seahurst, WA | superpages.com","https://www.superpages.com/seahurst-wa/gutters-downspouts-cleaning","https://www.leafguard.com/locations/seattle",73,43,3,"visit website","2025-11-22","2026-03-05"
106,"Best Gutter Installation Companies","https://www.homedit.com/gutters/installation-companies/","https://www.leafguard.com/",73,42,1,"leafguard","2022-10-20","2026-06-29"
107,"-","https://jobs.idahostatesman.com/company/leafguard-197734","https://www.leafguard.com/careers",73,36,2,"https://www.leafguard.com/careers","2021-10-22","2024-01-25"
108,"-","https://jobs.sunherald.com/company/leafguard-197734","https://www.leafguard.com/careers",73,35,1,"https://www.leafguard.com/careers","2021-10-26","2024-03-01"
109,"-","https://behired.wdrb.com/company/leafguard-197734","https://www.leafguard.com/careers",73,34,2,"https://www.leafguard.com/careers","2021-10-20","2024-05-28"
110,"Englert LeafGuard Rain Gutters in Portland, OR - (541) 378-6942 Services - Residential Contractors","https://local.portlandmetro.pamplinmedia.com/portland-or/services/residential-contractors/englert-leafguard-rain-gutters-541-378-6942","https://pages.leafguard.com/LeafGuardOffers.html",73,32,6,"website","2024-07-27","2026-08-02"
111,"Leaf Guard Logo PNG Vector (EPS) Free Download","https://seeklogo.com/vector-logo/82903/leaf-guard","https://www.leafguard.com/",72,39,12,"leafguard.com","2017-05-05","2026-07-25"
112,"-","https://activerain.com/blogsview/2427182/is-this-the-latest-in-natural-hydroponic-gardening-","https://www.leafguard.com/",72,37,1,"leafguard","2018-02-06","2023-11-16"
113,"-","https://content.yudu.com/A1zilk/MetalArchitNov2012/resources/20.htm","https://www.leafguard.com/",72,36,43,"www.leafguard.com","2018-01-14","2021-08-23"
114,"-","https://jobs.centredaily.com/company/leafguard-197734","https://www.leafguard.com/careers",72,34,1,"https://www.leafguard.com/careers","2021-10-28","2024-04-03"
115,"-","https://mylocal.capitalgazette.com/crofton-md/leafguard-410-864-4727","https://pages.leafguard.com/LeafGuardOffers.html",72,33,1,"http://www.leafguardgutters.com/","2024-07-27","2026-08-02"
116,"Leaf Guard Gutters St Cloud - zzz DEFUNCT St. Cloud Times (MN)","https://admin.local.sctimes.com/st%20cloud-mn/leaf-guard-gutters-st-cloud-605-273-5790","https://www.leafguard.com/",72,33,1,"http://www.leafguard.com/","2023-06-19","2024-01-03"
117,"Everything about home improvement","https://felixsjapd.bloguetechno.com/Everything-about-home-improvement-7427098","https://pages.leafguard.com/LeafGuardOffers.html",71,39,15,"st louis gutter cleaning","2023-04-28","2026-07-13"
118,"Top home improvement Secrets","https://stlouisguttercleaning03568.blogocial.com/Top-home-improvement-Secrets-8756320","https://pages.leafguard.com/LeafGuardOffers.html",71,39,16,"website","2023-04-28","2026-07-13"
119,"-","https://www.doityourself.com/forum/roofing-gutters-all-waterproofing-anywhere/564763-water-misses-gutter.html","https://www.leafguard.com/",71,36,2,"https://www.leafguard.com/","2019-11-22","2019-11-22"
120,"
            
    LeafGuard Sales Representative - Albany NY
    in Albany, NY
    | The Olympian

        ","https://jobs.theolympian.com/company/leafguard-197734/job/sales-representative-albany-ny-in-albany-ny-tlnpwgrqe3u9h2zfpye2g5cummilfa/","https://www.leafguard.com/careers",71,34,2,"https://www.leafguard.com/careers","2022-01-24","2022-01-24"
121,"-","https://jobs.heraldonline.com/company/leafguard-197734","https://www.leafguard.com/careers",71,34,1,"https://www.leafguard.com/careers","2021-12-25","2024-06-17"
122,"LeafGuard, Greer, SC 29650-4805 | - Yellowbook","https://www.yellowbook.com/profile/leafguard_1881568924.html","https://www.leafguard.com/",70,36,5,"www.leafguard.com","2022-08-22","2022-08-22"
123,"-","https://edwinouxzb.newbigblog.com/1031718/5-simple-techniques-for-gutter-cleaning-st-louis","https://pages.leafguard.com/LeafGuardOffers.html",70,34,18,"read more","2023-04-28","2026-07-13"
124,"-","https://jobs.bozemandailychronicle.com/company/leafguard-197734","https://www.leafguard.com/careers",70,33,1,"https://www.leafguard.com/careers","2021-10-11","2024-05-08"
125,"-","https://jobs.idahopress.com/company/leafguard-197734","https://www.leafguard.com/careers",70,32,1,"https://www.leafguard.com/careers","2021-11-17","2024-06-22"
126,"The Old Reader","https://theoldreader.com/profile/roland?page=562","https://www.leafguard.com/",70,31,19,"leafguard","2026-03-21","2026-07-10"
127,"-","https://jobs.news8000.com/company/leafguard-197734","https://www.leafguard.com/careers",70,31,7,"https://www.leafguard.com/careers","2021-12-27","2024-03-22"
128,"-","https://topdomadirectory.com/most-visited-site-379/","https://www.leafguard.com/",69,45,7,"leafguard.com","2023-05-17","2026-07-08"
129,"-","https://webjunctiondirectory.com/most-visited-site-379/","https://www.leafguard.com/",69,45,6,"leafguard.com","2023-05-18","2026-07-08"
130,"-","https://topmillionwebdirectory.com/most-visited-site-379/","https://www.leafguard.com/",69,45,6,"leafguard.com","2023-05-19","2026-07-08"
131,"-","https://websitehubdirectory.com/most-visited-site-379/","https://www.leafguard.com/",69,41,7,"leafguard.com","2023-05-25","2026-07-08"
132,"-","https://rakily.com/website-list-1858/","https://www.leafguard.com/",69,40,10,"leafguard","2022-11-03","2026-07-08"
133,"-","https://webrankdirectory.com/most-visited-site-379/","https://www.leafguard.com/",69,39,7,"leafguard.com","2023-05-17","2026-07-08"
134,"-","https://clicktoselldirectoy.com/website-list-1858/","https://www.leafguard.com/",69,37,4,"leafguard","2022-09-22","2026-07-08"
135,"-","https://classifieddirectoy.com/website-list-1858/","https://www.leafguard.com/",69,36,11,"leafguard","2022-09-10","2026-07-08"
136,"-","https://99sitedirectory.com/website-list-1858/","https://www.leafguard.com/",69,36,11,"leafguard","2022-09-20","2026-07-08"
137,"-","https://seohelperdirectory.com/website-list-1858/","https://www.leafguard.com/",69,36,11,"leafguard","2022-09-19","2026-07-08"
138,"-","https://www.woorank.com/en/www/leafguardofnashville.com","https://pages.leafguard.com/LeafGuardOffers.html",69,34,3,"http://www.leafguardofnashville.com/","2023-02-04","2026-08-09"
139,"-","https://idyler.com/website-list-1826/","https://www.leafguard.com/",69,33,9,"leafguard","2024-12-05","2026-07-08"
